iter	Passed	Remaining
0	157	31414
1	189	18763
2	202	13309
3	234	11486
4	249	9749
5	264	8541
6	277	7653
7	276	6633
8	287	6109
9	300	5705
10	310	5341
11	323	5068
12	335	4821
13	346	4603
14	357	4412
15	368	4239
16	378	4073
17	387	3914
18	398	3793
19	406	3658
20	418	3571
21	431	3488
22	444	3418
23	458	3360
24	470	3296
25	482	3226
26	492	3153
27	506	3111
28	520	3069
29	533	3024
30	547	2984
31	560	2944
32	582	2946
33	592	2893
34	607	2862
35	619	2824
36	635	2800
37	647	2762
38	660	2726
39	672	2690
40	682	2645
41	690	2597
42	714	2608
43	727	2578
44	727	2505
45	739	2475
46	755	2458
47	769	2435
48	780	2405
49	793	2380
50	808	2363
51	822	2340
52	837	2322
53	850	2300
54	868	2290
55	890	2289
56	903	2266
57	916	2242
58	929	2222
59	940	2194
60	951	2168
61	964	2147
62	976	2124
63	989	2102
64	1001	2079
65	1017	2065
66	1030	2046
67	1042	2024
68	1054	2001
69	1067	1982
70	1086	1973
71	1106	1966
72	1123	1954
73	1144	1949
74	1158	1930
75	1168	1906
76	1183	1890
77	1192	1865
78	1204	1845
79	1216	1825
80	1228	1805
81	1241	1786
82	1255	1769
83	1269	1752
84	1281	1733
85	1290	1710
86	1301	1690
87	1311	1668
88	1319	1645
89	1329	1625
90	1341	1606
91	1355	1591
92	1367	1573
93	1381	1557
94	1397	1544
95	1411	1529
96	1425	1513
97	1437	1496
98	1451	1480
99	1463	1463
100	1476	1447
101	1489	1430
102	1507	1419
103	1525	1408
104	1540	1393
105	1555	1378
106	1573	1367
107	1591	1355
108	1603	1338
109	1616	1322
110	1631	1308
111	1642	1290
112	1653	1273
113	1666	1256
114	1680	1242
115	1693	1226
116	1706	1210
117	1722	1196
118	1732	1179
119	1742	1161
120	1754	1145
121	1765	1129
122	1777	1112
123	1789	1096
124	1799	1079
125	1809	1062
126	1819	1045
127	1827	1028
128	1837	1011
129	1845	993
130	1853	976
131	1862	959
132	1871	942
133	1879	925
134	1888	909
135	1897	892
136	1909	878
137	1919	862
138	1928	846
139	1938	830
140	1947	814
141	1956	799
142	1966	783
143	1973	767
144	1982	751
145	1990	736
146	1999	720
147	2008	705
148	2017	690
149	2026	675
150	2034	660
151	2042	644
152	2050	630
153	2059	615
154	2068	600
155	2077	585
156	2086	571
157	2094	556
158	2103	542
159	2112	528
160	2120	513
161	2130	499
162	2140	485
163	2150	472
164	2160	458
165	2168	444
166	2178	430
167	2187	416
168	2196	402
169	2205	389
170	2212	375
171	2221	361
172	2228	347
173	2235	334
174	2242	320
175	2249	306
176	2256	293
177	2262	279
178	2269	266
179	2277	253
180	2284	239
181	2292	226
182	2299	213
183	2306	200
184	2313	187
185	2318	174
186	2324	161
187	2330	148
188	2335	135
189	2340	123
190	2345	110
191	2351	97
192	2356	85
193	2361	73
194	2366	60
195	2371	48
196	2376	36
197	2381	24
198	2387	11
199	2393	0
